customer_id,age,annual_income,employment_years,employment_type,education,marital_status,city_tier,credit_score,existing_loans,loan_amount,loan_term_months,loan_approved
CUST1000,22,58572.23,4,Salaried,Bachelor,Married,Tier 3,467.0,2,19840.0,24,1
CUST1001,55,62723.26,3,Salaried,Bachelor,Married,Tier 3,535.0,0,28410.78,48,1
CUST1002,49,59456.5,4,Salaried,Bachelor,Divorced,Tier 2,609.0,0,18258.54,36,1
CUST1003,39,68356.38,2,Salaried,High School,Single,Tier 2,633.0,2,19627.73,48,1
CUST1004,38,97372.82,15,Salaried,Master,Married,Tier 2,645.0,1,72662.25,24,0
CUST1005,59,18000.0,11,Self-Employed,High School,Single,Tier 1,683.0,1,20195.49,24,0
CUST1006,22,59789.29,4,Salaried,High School,Married,Tier 1,654.0,0,12273.5,36,1
CUST1007,51,68883.27,14,Self-Employed,Master,Married,Tier 2,769.0,2,38540.92,12,1
CUST1008,27,71511.87,9,Salaried,Bachelor,Single,Tier 2,623.0,0,59461.88,24,0
CUST1009,22,56817.88,4,Self-Employed,High School,Married,Tier 2,607.0,0,52171.67,48,0
CUST1010,43,,3,Self-Employed,,Married,Tier 3,721.0,0,25723.51,60,0
CUST1011,64,72215.9,12,Salaried,Bachelor,Single,Tier 1,549.0,0,45989.81,24,1
CUST1012,53,103001.7,19,Salaried,Master,Divorced,Tier 1,713.0,0,96666.21,60,0
CUST1013,54,31255.05,17,Business,High School,Married,Tier 1,689.0,0,17568.12,48,1
CUST1014,52,84004.22,7,Salaried,High School,Single,Tier 1,667.0,0,42056.91,60,1
CUST1015,55,57772.45,8,Self-Employed,Bachelor,Married,Tier 2,815.0,1,23837.76,48,1
CUST1016,42,63650.86,19,Salaried,Master,Single,Tier 3,627.0,2,43911.39,48,0
CUST1017,24,41836.23,0,,High School,Single,Tier 3,850.0,0,16225.95,36,1
CUST1018,58,57641.96,11,Salaried,Master,Married,Tier 2,661.0,0,9182.42,48,1
CUST1019,39,93600.98,2,Business,Master,Single,Tier 2,571.0,2,91693.64,60,0
CUST1020,42,,19,Salaried,High School,Single,Tier 1,686.0,2,36671.28,24,0
CUST1021,35,103110.86,0,Self-Employed,Master,Married,Tier 2,589.0,1,30187.86,36,1
CUST1022,26,90903.06,0,Self-Employed,Bachelor,Single,Tier 1,616.0,0,19942.14,12,1
CUST1023,62,74659.91,7,Salaried,Bachelor,Married,Tier 3,714.0,1,47726.37,60,0
CUST1024,55,103366.56,4,Salaried,Bachelor,Married,Tier 2,727.0,0,43297.84,36,1
CUST1025,48,74657.85,10,Salaried,Master,Single,Tier 1,627.0,0,33804.91,48,1
CUST1026,37,83215.74,6,Salaried,Bachelor,Married,Tier 1,764.0,1,40945.29,60,1
CUST1027,57,58475.44,7,Self-Employed,Bachelor,Single,Tier 1,778.0,1,43834.87,60,0
CUST1028,44,66464.01,12,Salaried,Master,Married,Tier 3,802.0,1,63103.69,24,0
CUST1029,39,49656.68,12,Salaried,Bachelor,Single,Tier 1,725.0,1,32417.57,48,0
CUST1030,39,86770.85,20,Self-Employed,Master,Divorced,Tier 1,796.0,0,68752.65,60,1
CUST1031,28,39077.32,10,Self-Employed,Master,Single,Tier 1,520.0,0,41528.43,12,0
CUST1032,22,82211.71,4,Salaried,High School,Married,Tier 3,653.0,2,96720.14,48,0
CUST1033,44,60805.68,14,Salaried,High School,Single,Tier 2,606.0,2,45950.92,36,0
CUST1034,60,90767.44,3,Salaried,Bachelor,Single,Tier 2,690.0,0,93765.65,48,0
CUST1035,21,81519.12,3,,Master,Married,Tier 2,631.0,1,80778.9,36,0
CUST1036,59,105054.22,18,Salaried,High School,Married,Tier 1,666.0,0,95185.07,24,0
CUST1037,57,81077.04,6,Salaried,Bachelor,Divorced,Tier 3,840.0,0,48416.7,24,1
CUST1038,31,30415.11,3,Salaried,High School,Single,Tier 1,666.0,2,8412.85,24,1
CUST1039,48,63527.03,7,Self-Employed,Bachelor,Single,Tier 1,715.0,0,15890.71,24,1
CUST1040,25,39215.84,6,Self-Employed,Bachelor,Single,Tier 2,660.0,1,27546.53,48,1
CUST1041,54,53597.84,12,Salaried,High School,Single,Tier 1,686.0,1,33518.68,36,1
CUST1042,51,98247.03,19,Business,Master,Married,Tier 1,681.0,0,47094.21,24,1
CUST1043,35,79025.74,13,Business,High School,Married,Tier 3,718.0,0,54982.42,48,1
CUST1044,21,49623.53,2,Salaried,Master,Married,Tier 2,,0,33277.65,48,1
CUST1045,64,42698.22,6,Self-Employed,High School,Single,Tier 1,820.0,3,41692.8,36,0
CUST1046,39,65721.21,15,Salaried,Master,Single,Tier 1,706.0,1,32087.88,60,1
CUST1047,60,38235.68,7,Business,Bachelor,Married,Tier 2,730.0,1,10248.27,36,1
CUST1048,50,50234.91,12,Salaried,High School,Single,Tier 1,582.0,0,48335.97,60,0
CUST1049,55,71864.21,15,Salaried,High School,Married,Tier 1,673.0,1,76141.53,12,0
CUST1050,54,90416.86,7,Salaried,High School,Single,Tier 2,760.0,0,99699.99,48,0
CUST1051,27,78392.75,9,,Bachelor,Single,Tier 2,754.0,1,93132.31,60,0
CUST1052,35,18000.0,8,Self-Employed,Master,Married,Tier 3,698.0,2,15271.0,60,0
CUST1053,40,,2,Salaried,Bachelor,Single,Tier 2,755.0,1,34433.67,36,1
